City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Conditions
320,Impfondo,CG,1.6381,18.0667,71.44,98,100,2.51,light rain
321,Brigantine,US,39.4101,-74.3646,74.19,72,20,10.0,few clouds
322,Menongue,AO,-14.6585,17.691,77.18,15,56,5.99,broken clouds
323,Biltine,TD,14.5333,20.9167,92.95,18,88,9.19,overcast clouds
324,Rafiganj,IN,24.8167,84.65,78.94,88,31,7.4,scattered clouds
325,Nanning,CN,22.8167,108.3167,76.21,85,36,3.8,scattered clouds
326,Phan Thiet,VN,10.9333,108.1,77.43,87,100,3.74,overcast clouds
327,Batagay,RU,67.6333,134.6333,6.69,99,83,2.08,broken clouds
328,Dzaoudzi,YT,-12.7887,45.2699,76.89,78,0,5.75,clear sky
329,Teya,RU,60.3778,92.6267,31.33,99,100,0.92,overcast clouds
330,Tall Kayf,TR,37.0833,41.0667,76.39,15,0,9.22,clear sky
331,Uige,AO,-7.6087,15.0613,69.69,91,88,3.83,moderate rain
332,Kavaratti,IN,10.5669,72.642,81.5,75,98,18.41,overcast clouds
333,Biograd Na Moru,HR,43.9433,15.4519,67.75,77,94,10.11,overcast clouds
334,Barao De Melgaco,BR,-16.1944,-55.9675,100.33,25,60,8.03,broken clouds
335,Skjervoy,NO,70.0311,20.9714,50.0,89,100,23.49,light rain
336,Faanui,PF,-16.4833,-151.75,77.83,78,38,26.82,light rain
337,Sioux Lookout,CA,50.1001,-91.917,33.87,93,75,9.22,broken clouds
338,Granadilla De Abona,ES,28.1188,-16.576,69.19,75,75,6.91,broken clouds
339,Ancud,CL,-41.8697,-73.8203,48.16,81,100,12.55,overcast clouds
340,Jerusalem,IL,31.769,35.2163,70.0,75,0,1.99,clear sky
341,Flinders,AU,-34.5833,150.8552,61.38,93,64,4.0,broken clouds
342,Namibe,AO,-15.1961,12.1522,63.52,86,51,8.46,broken clouds
343,Kothi,IN,24.75,80.7833,76.15,88,52,9.04,broken clouds
344,Ouesso,CG,1.6136,16.0517,71.56,97,95,2.28,moderate rain
